id;age;sex;region;income;married;children;car;fiber;iphone;linux
ID12101;48;FEMALE;INNER_CITY;17546.0;False;1;False;True;False;True
ID12102;40;MALE;TOWN;30085.1;True;3;True;True;True;False
ID12103;51;FEMALE;INNER_CITY;16575.4;True;0;True;True;False;False
ID12104;23;FEMALE;TOWN;20375.4;True;3;False;True;False;False
ID12105;57;FEMALE;RURAL;50576.3;True;0;False;False;False;False
ID12106;57;FEMALE;TOWN;37869.6;True;2;False;True;False;True
ID12107;22;MALE;RURAL;8877.07;False;0;False;True;False;True
ID12108;58;MALE;TOWN;24946.6;True;0;True;True;False;False
ID12109;37;FEMALE;SUBURBAN;25304.3;True;2;True;False;False;False
ID12110;54;MALE;TOWN;24212.1;True;2;True;True;False;False
ID12111;66;FEMALE;TOWN;59803.9;True;0;False;True;False;False
ID12112;52;FEMALE;INNER_CITY;26658.8;False;0;True;True;True;False
ID12113;44;FEMALE;TOWN;15735.8;True;1;False;True;True;True
ID12114;66;FEMALE;TOWN;55204.7;True;1;True;True;True;True
ID12115;36;MALE;RURAL;19474.6;True;0;False;True;True;False
ID12116;38;FEMALE;INNER_CITY;22342.1;True;0;True;True;True;False
ID12117;37;FEMALE;TOWN;17729.8;True;2;False;False;True;False
ID12118;46;FEMALE;SUBURBAN;41016.0;True;0;False;False;True;False
ID12119;62;FEMALE;INNER_CITY;26909.2;True;0;False;True;False;True
ID12120;31;MALE;TOWN;22522.8;True;0;True;True;False;False
ID12121;61;MALE;INNER_CITY;57880.7;True;2;False;True;False;True
ID12122;50;MALE;TOWN;16497.3;True;2;False;True;False;False
ID12123;54;MALE;INNER_CITY;38446.6;True;0;False;True;False;False
ID12124;27;FEMALE;TOWN;15538.8;False;0;True;True;True;False
ID12125;22;MALE;INNER_CITY;12640.3;False;2;True;True;False;False
ID12126;56;MALE;INNER_CITY;41034.0;True;0;True;True;True;False
ID12127;45;MALE;INNER_CITY;20809.7;True;0;False;True;True;False
ID12128;39;FEMALE;TOWN;20114.0;True;1;False;True;False;True
ID12129;39;FEMALE;INNER_CITY;29359.1;False;3;True;True;True;False
ID12130;61;MALE;RURAL;24270.1;True;1;False;True;False;True
ID12131;61;FEMALE;RURAL;22942.9;True;2;False;True;False;False
ID12132;20;FEMALE;TOWN;16325.8;True;2;False;False;False;False
ID12133;45;MALE;SUBURBAN;23443.2;True;1;True;True;False;True
ID12134;33;FEMALE;INNER_CITY;29921.3;False;3;True;False;False;False
ID12135;43;MALE;SUBURBAN;37521.9;False;0;False;True;False;True
ID12136;27;FEMALE;INNER_CITY;19868.0;True;2;False;True;False;False
ID12137;19;MALE;RURAL;10953.0;True;3;True;True;False;False
ID12138;36;FEMALE;RURAL;13381.0;False;0;True;True;False;True
ID12139;43;FEMALE;TOWN;18504.3;True;0;True;True;False;False
ID12140;66;FEMALE;SUBURBAN;25391.5;False;2;False;True;False;False
ID12141;55;MALE;TOWN;26774.2;True;0;False;True;True;True
ID12142;47;FEMALE;INNER_CITY;26952.6;True;0;True;True;False;False
ID12143;67;MALE;TOWN;55716.5;False;2;True;False;False;True
ID12144;32;FEMALE;TOWN;27571.5;True;0;True;True;True;False
ID12145;20;MALE;INNER_CITY;13740.0;False;2;True;True;True;False
